NAME,SYMBOL
Adani Enterprises Ltd.,ADANIENT
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Asian Paints Ltd.,ASIANPAINT
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bharat Electronics Ltd.,BEL
Bharti Airtel Ltd.,BHARTIARTL
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
Eternal Ltd.,ETERNAL
Grasim Industries Ltd.,GRASIM
HCL Technologies Ltd.,HCLTECH
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Hindalco Industries Ltd.,HINDALCO
Hindustan Unilever Ltd.,HINDUNILVR
ICICI Bank Ltd.,ICICIBANK
ITC Ltd.,ITC
Infosys Ltd.,INFY
InterGlobe Aviation Ltd.,INDIGO
JSW Steel Ltd.,JSWSTEEL
Jio Financial Services Ltd.,JIOFIN
Kotak Mahindra Bank Ltd.,KOTAKBANK
Larsen & Toubro Ltd.,LT
Mahindra & Mahindra Ltd.,M&M
Maruti Suzuki India Ltd.,MARUTI
Max Healthcare Institute Ltd.,MAXHEALTH
NTPC Ltd.,NTPC
Nestle India Ltd.,NESTLEIND
Oil & Natural Gas Corporation Ltd.,ONGC
Power Grid Corporation of India Ltd.,POWERGRID
Reliance Industries Ltd.,RELIANCE
SBI Life Insurance Company Ltd.,SBILIFE
Shriram Finance Ltd.,SHRIRAMFIN
State Bank of India,SBIN
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Tata Consultancy Services Ltd.,TCS
Tata Consumer Products Ltd.,TATACONSUM
Tata Motors Passenger Vehicles Ltd.,TMPV
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Titan Company Ltd.,TITAN
Trent Ltd.,TRENT
UltraTech Cement Ltd.,ULTRACEMCO
Wipro Ltd.,WIPRO
ABB India Ltd.,ABB
Adani Energy Solutions Ltd.,ADANIENSOL
Adani Green Energy Ltd.,ADANIGREEN
Adani Power Ltd.,ADANIPOWER
Ambuja Cements Ltd.,AMBUJACEM
Avenue Supermarts Ltd.,DMART
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bank of Baroda,BANKBARODA
Bharat Petroleum Corporation Ltd.,BPCL
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
CG Power and Industrial Solutions Ltd.,CGPOWER
Canara Bank,CANBK
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cummins India Ltd.,CUMMINSIND
DLF Ltd.,DLF
Divi's Laboratories Ltd.,DIVISLAB
GAIL (India) Ltd.,GAIL
Godrej Consumer Products Ltd.,GODREJCP
HDFC Asset Management Company Ltd.,HDFCAMC
Hindustan Aeronautics Ltd.,HAL
Hindustan Zinc Ltd.,HINDZINC
Hyundai Motor India Ltd.,HYUNDAI
Indian Hotels Co. Ltd.,INDHOTEL
Indian Oil Corporation Ltd.,IOC
Indian Railway Finance Corporation Ltd.,IRFC
Jindal Steel Ltd.,JINDALSTEL
LTM Ltd.,LTM
Lodha Developers Ltd.,LODHA
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK
Muthoot Finance Ltd.,MUTHOOTFIN
Pidilite Industries Ltd.,PIDILITIND
Power Finance Corporation Ltd.,PFC
Punjab National Bank,PNB
REC Ltd.,RECLTD
Samvardhana Motherson International Ltd.,MOTHERSON
Shree Cement Ltd.,SHREECEM
Siemens Energy India Ltd.,ENRIN
Siemens Ltd.,SIEMENS
Solar Industries India Ltd.,SOLARINDS
TVS Motor Company Ltd.,TVSMOTOR
Tata Capital Ltd.,TATACAP
Tata Motors Ltd.,TMCV
Tata Power Co. Ltd.,TATAPOWER
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Union Bank of India,UNIONBANK
United Spirits Ltd.,UNITDSPR
Varun Beverages Ltd.,VBL
Vedanta Ltd.,VEDL
Zydus Lifesciences Ltd.,ZYDUSLIFE
360 ONE WAM Ltd.,360ONE
APL Apollo Tubes Ltd.,APLAPOLLO
AU Small Finance Bank Ltd.,AUBANK
Adani Total Gas Ltd.,ATGL
Aditya Birla Capital Ltd.,ABCAPITAL
Alkem Laboratories Ltd.,ALKEM
Ashok Leyland Ltd.,ASHOKLEY
Astral Ltd.,ASTRAL
Aurobindo Pharma Ltd.,AUROPHARMA
BSE Ltd.,BSE
Bank of India,BANKINDIA
Bharat Dynamics Ltd.,BDL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Billionbrains Garage Ventures Ltd.,GROWW
Biocon Ltd.,BIOCON
Blue Star Ltd.,BLUESTARCO
Cochin Shipyard Ltd.,COCHINSHIP
Coforge Ltd.,COFORGE
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
Dabur India Ltd.,DABUR
Dixon Technologies (India) Ltd.,DIXON
Exide Industries Ltd.,EXIDEIND
